@relation weka-code-br-v6

@attribute '<Method name contains run>' {true,false}
@attribute '<Method execute invoked>' {true,false}
@attribute '<Method name contains compile>' {true,false}
@attribute '<Method is constructor>' {true,false}
@attribute '<Implicit method>' {true,false}
@attribute '<Method name contains saniti>' {true,false}
@attribute '<Method is part of class that ends with Encoder>' {true,false}
@attribute '<Method is part of class that contains the name credential>' {true,false}
@attribute '<Method is part of class that contains the name process>' {true,false}
@attribute '<Return type is java.lang.String>' {true,false}
@attribute '<Return type is Servlet>' {true,false}
@attribute '<Method name contains exec>' {true,false}
@attribute '<Method is part of an anonymous class>' {true,false}
@attribute '<Parameter type contains credential>' {true,false}
@attribute '<Parameter type contains java.lang.string>' {true,false}
@attribute '<Matching parameter type to return type.>' {true,false}
@attribute '<Method is part of class that contains the name input>' {true,false}
@attribute '<Method is part of inner class>' {true,false}
@attribute '<Method is part of class that contains the name runtime>' {true,false}
@attribute CWE78 {0,1}

@data
false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,1
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,0
false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0
false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,?,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,0
