@relation 'weka-code-br-v6:-C 22'

@attribute '<Method is part of class that ends with Request>' {true,false}
@attribute '<Method is constructor>' {true,false}
@attribute '<Implicit method>' {true,false}
@attribute '<Method is part of class that contains the name hibernate>' {true,false}
@attribute '<Method name contains saniti>' {true,false}
@attribute '<Method name contains query>' {true,false}
@attribute '<Method is part of class that ends with Encoder>' {true,false}
@attribute '<Method name contains execute>' {true,false}
@attribute '<Return type is java.lang.String>' {true,false}
@attribute '<Method is part of an anonymous class>' {true,false}
@attribute '<Method has parameters>' {true,false}
@attribute '<Parameter type contains sql>' {true,false}
@attribute '<Parameter type contains java.lang.string>' {true,false}
@attribute '<Method is part of class that contains the name database>' {true,false}
@attribute '<Return type is java.sql.ResultSet>' {true,false}
@attribute '<Method is part of class that contains the name sql>' {true,false}
@attribute '<Method makedb invoked>' {true,false}
@attribute '<Matching parameter type to return type.>' {true,false}
@attribute '<Method is part of class that contains the name input>' {true,false}
@attribute '<Method is part of class that contains the name db>' {true,false}
@attribute '<Method is part of inner class>' {true,false}
@attribute '<Method is part of class that contains the name jdbc>' {true,false}
@attribute CWE89 {0,1}

@data
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,?,false,false,false,false,false,0
true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,0
false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,0
false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,?,false,false,false,false,false,1
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,false,false,true,false,true,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,true,false,false,true,false,true,false,true,true,false,true,false,true,false,false,false,false,1
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,true,false,true,false,true,false,true,false,false,false,false,true,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,true,false,true,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,true,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,true,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,true,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,?,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,0
false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,0
